source_url	parsed_url
http://www.peaktopeak.com/minerals/njeffco/index.htm	http://www.peaktopeak.com/njeffco/index.php
http://www.sloppynoodle.com/ev.html	http://www.sloppynoodle.com/ev.shtml
http://www.springfieldsci.com	data:image/x-icon;,
http://www.springfieldsci.com	https://www.enable-javascript.com/
http://www.hri.org/news/greek/mpa/2000/00-11-07.mpa.html#07	http://www.hri.org/GAWN/
http://www.hri.org/news/greek/mpa/2000/00-11-07.mpa.html#07	http://www.hri.org/docs/macque/
http://rockhoundingar.com/quartz/cleaning.html	http://rockhoundingar.com/quartz/index.php
http://www.alaskawildcard.com/	https://d1s9zexeqsmc0t.cloudfront.net/manifest.json
http://www.alaskawildcard.com/	https://d1s9zexeqsmc0t.cloudfront.net/icon192.png
http://www.alaskawildcard.com/	https://d1s9zexeqsmc0t.cloudfront.net/icon32.png
http://www.alaskawildcard.com/	https://d1s9zexeqsmc0t.cloudfront.net/static/css/main.f21a2399.chunk.css
https://dngranskar.dn.se/	http://browsehappy.com/
https://dngranskar.dn.se/	http://dn.se
https://dngranskar.dn.se/	https://dngranskar.dn.se/meddelande
https://dngranskar.dn.se/	https://dngranskar.dn.se/static/css/main.css?version=3
https://dngranskar.dn.se/	https://www.torproject.org/
http://kpsv001.tuc.noao.edu/kpnews/	http://kpsv001.tuc.noao.edu/kpnews/kpvc-new.css
http://kpsv001.tuc.noao.edu/kpnews/	http://facebook.com/kittpeak
http://kpsv001.tuc.noao.edu/kpnews/	http://kpsv001.tuc.noao.edu/kpnews/Styles/Site.css
http://www.waypointwherehouse.com	data:image/x-icon;,
http://www.waypointwherehouse.com	https://www.enable-javascript.com/
http://www.trainweb.net/pos63.html	http://www.depotinn.com/
http://www.trainweb.net/pos63.html	http://statcounter.com/
http://www.enchantedlearning.com/Home.html	http://www.enchantedlearning.com/css/ie7.css
http://www.enchantedlearning.com/Home.html	http://www.enchantedlearning.com/css/ie8.css
http://www.arraydesign.com	https://fonts.googleapis.com/css?family=Poppins:300
http://www.arraydesign.com	javascript:void(0);
http://www.arraydesign.com	http://d1lxhc4jvstzrp.cloudfront.net/themes/cleanPeppermint_7a82f1f3/style.css
http://www.arraydesign.com	https://www.godaddy.com/domains/searchresults.aspx?checkAvail=1&tmskey=&domainToCheck=arraydesign.com
http://www.arraydesign.com	http://d1lxhc4jvstzrp.cloudfront.net/themes/assets/style.css
http://www.realknots.com/knots	http://www.bonus.com
http://www.realknots.com/knots	http://www.realknots.com/css/k.css
http://www.realknots.com/knots	http://www.realknots.com/noose.htm
http://www.realknots.com/knots	http://www.realknots.com/knopen/index.htm
http://stallman.org/grav-mass.html	https://rosenzweig.io/MerryGravMass.ogv
https://www.infovis.org/infovis/2003/index.shtml	https://www.infovis.org/infovis/2003/speakers.shtml#capstone
https://www.infovis.org/infovis/2003/index.shtml	https://www.infovis.org/infovis/2003/posters.shtml
https://www.infovis.org/infovis/2003/index.shtml	http://vis.computer.org/vis2003
https://www.aclscertification.ca	https://www.acls.net/aclsalg.htm
http://ww2010.atmos.uiuc.edu/(Gh)/guides/mtr/home.rxml	http://ww2010.atmos.uiuc.edu/(Gh)/home.rxml
http://ww2010.atmos.uiuc.edu/(Gh)/guides/mtr/home.rxml	http://ww2010.atmos.uiuc.edu/(Gh)/guides/mtr/eln/elyr.rxml
http://mobilelinuxinfo.com/	https://www.mobilelinuxinfo.com/tag/a-healthy-liver/
https://www.thesolomonfirm.com/	https://fonts.gstatic.com
http://www.virtualquincy.com/quincy/culture/cultural.html	http://www.virtualquincy.com/quincy/culture/aquarium.html
https://www.tvduck.com/	https://www.tvduck.com/The-Simpsons.html
https://www.tvduck.com/	https://www.tvduck.com/Supernatural.html
https://www.tvduck.com/	https://www.tvduck.com/Sin-City.htm
http://www.smallstreetsphilly.org/	http://www.nature.nps.gov/hazardssafety/toxic/asphalt.pdf
https://b2b.svt.se/	https://b2b.svt.se/fakturering.html
https://b2b.svt.se/	https://b2b.svt.se/#Mittenspalt
https://b2b.svt.se/	https://b2b.svt.se/sitevision/7.0.5-240/envision/envision.css
https://b2b.svt.se/	https://www.svtplay.se/
http://www.w1hkj.com/	http://www.w1hkj.com/files/manuals/US_English/flcluster-help.pdf
https://erbjudanden.dn.se	https://auth.dn.se?appId=dagensnyheter.se&lc=sv&callback=https%3A%2F%2Ferbjudanden.dn.se
https://erbjudanden.dn.se	https://erbjudanden.dn.se/wp-content/themes/dn-upptack/library/images/favicons/manifest.json
https://erbjudanden.dn.se	https://erbjudanden.dn.se/om-cookies
http://www.catalog.caltech.edu/	http://www.catalog.caltech.edu/archive/0910
http://www.catalog.caltech.edu/	http://www.catalog.caltech.edu/disclaimer
http://www.catalog.caltech.edu/	http://www.catalog.caltech.edu/archive/1112
http://wulik.com	https://wulik.com/contact-me/
http://wulik.com	http://wulik.com
http://wulik.com	https://wulik.com/category/alaskan-earthquakes/earthquakes-effects/
http://wulik.com	https://wulik.com/category/alaska/fishing/
https://www.tinaja.com/patnt01.shtml	http://www.adobe.com
https://www.tinaja.com/patnt01.shtml	https://www.tinaja.com/santa01.shtml
https://www.tinaja.com/patnt01.shtml	https://www.tinaja.com/patnt01.shtml#books
https://www.tinaja.com/patnt01.shtml	https://www.tinaja.com/patnt01.shtml
https://www.tinaja.com/patnt01.shtml	https://www.tinaja.com/glib/riskdown.pdf
http://www.tug.org/	http://www.tug.org/store/#software
http://www.tug.org/	http://www.tug.org/metapost.html
http://www.tug.org/	http://www.tug.org/TUGboat/tb41-1/tb127haralambous-grapholinguistics.pdf
http://www.tug.org/	http://www.tug.org/publicity/
http://www.tug.org/	https://www.ctan.org/ctan-ann/id/mailman.221.1594903699.19539.ctan-ann@ctan.org
https://www.edmontonrealestate.ca	https://www.edmontonrealestate.ca/blog/rss/
https://www.edmontonrealestate.ca	https://www.edmontonrealestate.ca/fort-saskatchewan-real-estate-edmonton.php
https://www.edmontonrealestate.ca	https://www.edmontonrealestate.ca#login
http://www.rogers-corp.com/	https://rogerscorp.com:443/investors/contact-investor-relations
http://mapper.acme.com/	javascript:DeMinimizeControlPanel();
http://mapper.acme.com/	http://acme.com/
http://mapper.acme.com/	http://mapper.acme.com/about.html
http://astrotips.com/	https://dan.com/?utm_campaign=Parking&amp;utm_medium=parking&amp;utm_source=.com&amp;utm_term=astrotips.com
http://astrotips.com/	https://dan.com/zh-cn/buy-domain/astrotips.com
http://astrotips.com/	https://dan.com/fr-fr/buy-domain/astrotips.com
http://www.saitama-kousyunyuunavi.com/	http://www.work-girlsjob.com/kanto/sp/contact/
http://www.wcbo.org/	https://chessboxing.io/wp-content/uploads/2018/11/Capture-d’écran-2018-11-05-à-21.00.30.jpg
http://www.scotese.com	http://www.scotese.com/0802d.htm
http://www.scotese.com	http://www.scotese.com/pacifanim.htm
http://www.ieee-virtual-museum.org/index.php	https://fonts.googleapis.com/css?family=Poppins:300
http://www.ieee-virtual-museum.org/index.php	http://www.afternic.com/forsale/ieee-virtual-museum.org?utm_campaign=tdfs_DA&traffic_id=DA&traffic_type=TDFS
http://www.ieee-virtual-museum.org/index.php	javascript:void(0);
http://www.ieee-virtual-museum.org/index.php	http://d1lxhc4jvstzrp.cloudfront.net/themes/cleanPeppermint_7a82f1f3/style.css
https://www.biodiversityliteracy.com	https://ls2.cmich.edu/cgi-bin/wa?SUBED1=BLUEDATANETWORK&A=1
http://www.redcircuits.com	http://www.redcircuits.com/Page132.htm
https://www.conductrf.com/	https://www.conductrf.com/
https://www.conductrf.com/	https://www.conductrf.com/news.html
https://www.conductrf.com/	mailto:Sales@ConductRF.com
https://www.conductrf.com/	https://www.conductrf.com/cable-assemblies.html
https://www.conductrf.com/	https://nebula.wsimg.com/caed38768e28663b58010664ca1aeaab?AccessKeyId=FB44141FD3D07D0734F0&disposition=0&alloworigin=1
https://www.conductrf.com/	https://www.conductrf.com/test-cables.html
https://www.florea.cz/blog-inspirace-prani-a-vzkazy-1	https://www.florea.cz/img/site.webmanifest
https://www.florea.cz/blog-inspirace-prani-a-vzkazy-1	https://www.florea.cz/registrace
https://www.florea.cz/blog-inspirace-prani-a-vzkazy-1	https://www.florea.cz/produkty/levne-ruze-1
https://www.florea.cz/blog-inspirace-prani-a-vzkazy-1	https://www.florea.cz/blog-kvetinova-etiketa-1
https://www.florea.cz/blog-inspirace-prani-a-vzkazy-1	https://www.florea.cz/img/icons.472247f1.svg#icon-phone
http://www.cityam.com/article/1378091289/exclusive-walkie-scorchie-melted-my-jag	https://www.cityam.com/money/alt-fi/
http://www.cityam.com/article/1378091289/exclusive-walkie-scorchie-melted-my-jag	mailto:james.waterson@cityam.com
http://www.cityam.com/article/1378091289/exclusive-walkie-scorchie-melted-my-jag	https://www.cityam.com/talk/apater-capital-talk/
